activityName,shopProvince,date,finalRanking,playerName,hero,TTS_code
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,1,D.C松饼,凯南 狂暴之心,VEN-197-1 VEN-113-1 SFD-140-1 SFD-140-1 VEN-095-1 VEN-095-1 VEN-095-1 SFD-130-1 SFD-130-1 SFD-130-1 OGN-185-1 OGN-185-1 OGN-195-1 OGN-195-1 OGN-195-1 OGN-194-1 OGN-194-1 OGN-194-1 VEN-103-1 UNL-128-1 UNL-128-1 UNL-131-1 SFD-145-1 OGN-173-1 OGN-173-1 OGN-173-1 OGN-183-1 OGN-183-1 OGN-183-1 OGN-201-1 OGN-209-1 OGN-213-1 OGN-213-1 VEN-156-1 VEN-156-1 VEN-156-1 SFD-150-1 SFD-150-1 OGN-204-1 OGN-204-1 OGN-204-1 VEN-165-1 SFD-212-1 OGN-298-1 VEN-R06-1 VEN-R06-1 VEN-R06-1 VEN-R06-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 SFD-R05-1 OGN-166-1 OGN-166-1 OGN-166-1 VEN-127-1 VEN-131-1 VEN-131-1 UNL-131-1 OGS-011-1 OGN-201-1 OGN-224-1 OGN-224-1 OGN-212-1 OGN-212-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,2,Ai.mcdull,凯南 狂暴之心,VEN-155-1 VEN-113-1 VEN-SP5-1 UNL-145-1 UNL-145-1 UNL-145-1 SFD-140-1 SFD-140-1 SFD-140-1 SFD-149-1 OGN-194-1 OGN-194-1 OGN-194-1 OGN-185-1 OGN-185-1 OGN-199-1 OGN-199-1 OGN-195-1 OGN-195-1 OGN-195-1 UNL-128-1 UNL-128-1 SFD-145-1 SFD-145-1 OGN-173-1 OGN-173-1 OGN-173-1 OGN-183-1 OGN-183-1 OGN-183-1 OGN-204-1 OGN-204-1 OGN-204-1 VEN-156-1 VEN-156-1 VEN-156-1 SFD-163-1 OGN-172-1 SFD-150-1 SFD-150-1 OGN-169-1 OGN-298-1 SFD-212-1 OGN-294-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 OGN-224-1 OGN-224-1 UNL-134-1 UNL-176-1 VEN-127-1 UNL-131-1 OGN-198-1 OGN-198-1 UNL-147-1 UNL-147-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,3,DWT-老默,内瑟斯 沙漠死神,VEN-192-1 VEN-046-1 VEN-043-1 VEN-043-1 VEN-044-1 VEN-044-1 VEN-044-1 UNL-053-1 UNL-053-1 UNL-053-1 OGN-116-1 OGN-116-1 UNL-042-1 OGN-043-1 OGN-047-1 OGN-047-1 OGN-047-1 OGN-058-1 OGN-058-1 OGN-058-1 OGN-105-1 OGN-122-1 OGN-122-1 VEN-146-1 VEN-146-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-104-1 OGN-104-1 OGN-103-1 OGN-103-1 OGN-103-1 OGN-095-1 OGN-095-1 OGN-095-1 SFD-056-1 VEN-066-1 VEN-066-1 SFD-045-1 OGN-087-1 UNL-206-1 UNL-205-1 OGN-287-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R02-1 VEN-R02-1 VEN-R02-1 VEN-R02-1 VEN-R02-1 SFD-045-1 SFD-056-1 SFD-059-1 SFD-080-1 OGN-087-1 OGN-043-1 OGN-082-1 SFD-032-1 VEN-037-1 VEN-037-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,4,YYP,易 无极剑圣,OGS-019-1 UNL-113-1 UNL-221-1 UNL-221-1 UNL-221-1 UNL-053-1 UNL-053-1 UNL-053-1 OGN-132-1 OGN-132-1 OGN-132-1 UNL-120-1 UNL-120-1 UNL-120-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-043-1 OGN-043-1 OGN-043-1 OGN-046-1 OGN-046-1 OGN-058-1 OGN-058-1 OGN-058-1 SFD-097-1 SFD-097-1 SFD-097-1 OGN-077-1 OGN-077-1 OGN-077-1 OGN-136-1 OGN-136-1 SFD-105-1 SFD-105-1 SFD-105-1 UNL-095-1 UNL-095-1 OGN-154-1 VEN-084-1 VEN-083-1 SFD-207-1 UNL-215-1 SFD-217-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-156-1 OGN-156-1 OGN-156-1 VEN-040-1 VEN-085-1 VEN-085-1 VEN-085-1 SFD-032-1 VEN-037-1 UNL-095-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,5,EDG.AP1566,艾瑞莉娅 刀锋舞者,SFD-195-1 SFD-225*-1 SFD-045-1 SFD-048-1 SFD-048-1 SFD-048-1 SFD-133-1 SFD-133-1 SFD-133-1 SFD-196-1 SFD-196-1 SFD-196-1 OGS-011-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-046-1 OGN-046-1 OGN-058-1 OGN-058-1 OGN-058-1 OGN-077-1 OGN-172-1 OGN-173-1 OGN-173-1 OGN-183-1 OGN-183-1 UNL-145-1 VEN-101-1 UNL-053-1 UNL-053-1 UNL-053-1 OGN-199-1 OGN-199-1 OGN-199-1 VEN-100-1 VEN-100-1 UNL-128-1 SFD-139-1 UNL-150-1 UNL-150-1 UNL-205-1 VEN-166-1 OGN-289-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 OGN-056-1 SFD-032-1 UNL-128-1 UNL-131-1 VEN-039-1 VEN-031-1 SFD-145-1 VEN-038-1 VEN-038-1 UNL-145-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,6,Acc.Muk.青衣渡江,凯南 狂暴之心,VEN-197-1 VEN-113-1 OGN-185-1 OGN-185-1 OGN-185-1 OGN-199-1 OGN-199-1 VEN-135-1 VEN-135-1 VEN-101-1 SFD-140-1 SFD-140-1 VEN-SP5-1 SFD-149-1 VEN-104-1 VEN-104-1 OGN-194-1 OGN-194-1 OGN-194-1 OGN-195-1 OGN-195-1 OGN-195-1 UNL-128-1 UNL-128-1 UNL-142-1 UNL-142-1 UNL-142-1 OGN-173-1 OGN-173-1 OGN-172-1 OGN-183-1 OGN-183-1 OGN-183-1 VEN-156-1 VEN-156-1 VEN-156-1 SFD-150-1 SFD-150-1 SFD-234-1 OGN-204-1 OGN-204-1 OGN-298-1 SFD-212-1 OGN-291-1 VEN-R06-1 VEN-R06-1 VEN-R06-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 UNL-143-1 SFD-143-1 SFD-143-1 UNL-131-1 UNL-131-1 OGN-224-1 OGN-224-1 UNL-176-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,7,温柔的小鱼.E,艾瑞莉娅 刀锋舞者,SFD-195-1 SFD-057-1 SFD-225-1 UNL-053-1 UNL-053-1 UNL-053-1 OGN-199-1 OGN-199-1 UNL-128-1 UNL-128-1 OGN-046-1 OGN-046-1 OGN-169-1 OGN-183-1 OGN-183-1 OGN-173-1 OGN-173-1 SFD-133-1 SFD-133-1 SFD-133-1 OGN-077-1 SFD-196-1 SFD-196-1 SFD-196-1 OGN-058-1 OGN-058-1 OGN-058-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-043-1 OGN-043-1 SFD-048-1 SFD-048-1 SFD-048-1 SFD-051-1 UNL-131-1 UNL-145-1 SFD-140-1 VEN-038-1 VEN-101-1 UNL-205-1 SFD-218-1 OGN-289-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-056-1 OGN-056-1 SFD-045-1 OGN-077-1 VEN-038-1 VEN-031-1 VEN-040-1 VEN-039-1 VEN-102-1 OGN-043-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,8,PKC.江一楠,雷克塞 虚空遁地兽,SFD-243-1 SFD-029-1 VEN-023-1 VEN-023-1 UNL-002-1 UNL-002-1 UNL-002-1 UNL-006-1 UNL-006-1 UNL-153-1 UNL-153-1 UNL-153-1 UNL-165-1 UNL-165-1 SFD-003-1 SFD-003-1 SFD-003-1 SFD-021-1 SFD-021-1 SFD-155-1 SFD-155-1 SFD-155-1 SFD-175-1 SFD-175-1 SFD-188-1 SFD-188-1 SFD-188-1 OGN-004-1 OGN-004-1 OGN-012-1 OGN-012-1 OGN-012-1 OGN-029-1 OGN-029-1 OGN-029-1 OGN-209-1 OGN-209-1 OGN-209-1 OGN-211-1 OGN-211-1 OGN-211-1 UNL-210-1 OGN-291-1 OGN-298-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 VEN-015-1 VEN-015-1 VEN-122-1 VEN-131-1 UNL-169-1 UNL-169-1 OGN-004-1 OGN-221-1 OGN-224-1 OGN-224-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,9,梦之星.粉毛奶龙,阿卡丽 离群之刺,VEN-189*-1 VEN-021-1 VEN-044-1 VEN-044-1 VEN-044-1 VEN-140-1 VEN-140-1 VEN-SP1-1 VEN-SP1-1 UNL-003-1 UNL-042-1 UNL-042-1 UNL-053-1 UNL-053-1 UNL-221-1 UNL-221-1 SFD-048-1 SFD-048-1 SFD-048-1 OGN-012-1 OGN-012-1 OGN-029-1 OGN-029-1 OGN-043-1 OGN-043-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-046-1 OGN-046-1 OGN-058-1 OGN-058-1 OGN-058-1 OGN-077-1 OGN-077-1 OGN-077-1 VEN-011-1 VEN-011-1 OGN-034-1 VEN-038-1 SFD-021-1 OGN-289-1 UNL-210-1 VEN-166-1 OGN-007-1 OGN-007-1 OGN-007-1 OGN-007-1 OGN-007-1 OGN-007-1 OGN-007-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 VEN-015-1 VEN-015-1 VEN-039-1 UNL-054-1 OGN-022-1 OGN-022-1 SFD-045-1 VEN-040-1 VEN-040-1 VEN-140-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,10,YL.NO,凯南 狂暴之心,VEN-155-1 VEN-113-1 SFD-140-1 SFD-140-1 SFD-130-1 SFD-130-1 SFD-130-1 OGN-195-1 OGN-195-1 OGN-195-1 OGN-173-1 OGN-173-1 OGN-173-1 OGN-183-1 OGN-183-1 OGN-183-1 SFD-234-1 SFD-234-1 SFD-234-1 VEN-156-1 VEN-156-1 VEN-156-1 UNL-128-1 UNL-128-1 OGN-194-1 OGN-194-1 OGN-194-1 VEN-103-1 VEN-103-1 OGN-201-1 SFD-145-1 SFD-145-1 UNL-131-1 UNL-176-1 UNL-153-1 UNL-153-1 UNL-153-1 OGN-185-1 VEN-116-1 SFD-163-1 OGN-224-1 OGN-298-1 SFD-212-1 OGN-291-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R05-1 VEN-R06-1 VEN-R06-1 VEN-R06-1 OGN-224-1 VEN-131-1 VEN-131-1 UNL-128-1 UNL-176-1 OGN-169-1 OGN-169-1 UNL-131-1 OGN-212-1 OGN-212-1
