Opus ID,图片,文字行数,平均置信度,最低置信度,识别耗时(秒),文本文件
1106492573155852293,01.jpg,42,0.863,0.666,11.28,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
1106492573155852293,02.jpg,37,0.828,0.467,7.55,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
1106492573155852293,03.jpg,32,0.852,0.666,5.80,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
1106492573155852293,04.jpg,35,0.835,0.617,7.09,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
1106492573155852293,05.jpg,38,0.840,0.617,6.43,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
1106492573155852293,06.jpg,37,0.817,0.593,7.61,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
1106492573155852293,07.jpg,36,0.828,0.605,6.84,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
1108988045816758312,01.jpg,37,0.830,0.595,8.27,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt
1108988045816758312,02.jpg,37,0.829,0.587,6.97,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt
1111662951442415632,01.jpg,40,0.834,0.453,10.87,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt
1114291471444344833,01.jpg,38,0.846,0.556,8.79,2025-09-19_关于第一赛季区域公开赛-杭州站赛后判例_1114291471444344833/判例文字.txt
1134645362212995072,01.jpg,20,0.865,0.700,6.53,2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
1134645362212995072,02.jpg,35,0.880,0.699,10.48,2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
1134645362212995072,03.jpg,31,0.878,0.670,7.84,2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
1160282840232886273,01.jpg,30,0.829,0.624,5.28,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
1160282840232886273,02.jpg,28,0.838,0.558,5.77,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
1160282840232886273,03.jpg,28,0.816,0.519,5.26,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
1160282840232886273,04.jpg,22,0.832,0.666,3.50,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
1163166481226137616,01.jpg,28,0.827,0.666,5.13,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt
1163166481226137616,02.jpg,20,0.838,0.667,3.37,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt
1165431670649651201,01.jpg,31,0.833,0.588,5.41,2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
1165431670649651201,02.png,33,0.823,0.618,6.52,2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
