qa_id,card_no,position
7e3a4dc8-5c6d-5cc5-a242-016fb06baefb,OGN-103,0
3ab32495-b6cd-5629-b117-255eab9eec90,OGN-292,0
ad6998ba-7167-5ac2-9e99-f10420a71cf7,OGN-048,0
6ca1222d-f4ea-5aca-8d82-36d71feaeeef,OGN-209,0
9c69b239-6f17-5aad-9042-a2e155011f05,OGN-199,0
9c69b239-6f17-5aad-9042-a2e155011f05,OGN-292,1
387a3d6e-d449-5efb-8c65-5643ddad5e5b,OGN-029,0
387a3d6e-d449-5efb-8c65-5643ddad5e5b,OGN-248,1
387a3d6e-d449-5efb-8c65-5643ddad5e5b,OGN-292,2
ccdaf86e-045c-59ab-b289-6b5bbef82850,OGN-248,0
ccdaf86e-045c-59ab-b289-6b5bbef82850,OGN-029,1
ccdaf86e-045c-59ab-b289-6b5bbef82850,OGN-105,2
9e474ead-1225-5562-a409-1d0c654bad30,OGN-248,0
9e474ead-1225-5562-a409-1d0c654bad30,OGN-029,1
9e474ead-1225-5562-a409-1d0c654bad30,OGN-105,2
e5679f92-62c5-59ca-8548-6861dd41cc13,OGN-077,0
bc247caf-2d70-5a65-a393-003d61b803a1,OGN-077,0
6783f50d-163a-5c58-8bdf-490430242ad7,OGN-077,0
cc7e7683-93a1-5758-a3a8-5b3a3ef9c13f,OGN-248,0
cc7e7683-93a1-5758-a3a8-5b3a3ef9c13f,OGN-077,1
a36842a8-9a8f-5cec-b7f6-c081b50fc11c,OGN-077,0
e58d48f6-3ef8-580e-a4d1-7931d48c336b,OGN-077,0
1ec2d48b-059b-5af1-81ee-da61d8700f92,OGN-213,0
267c74e4-d24a-53fc-bf43-d0597d9390aa,OGN-213,0
267c74e4-d24a-53fc-bf43-d0597d9390aa,OGN-077,1
9bf456a4-3b2a-5dee-8934-c532e10641be,OGN-145,0
9bf456a4-3b2a-5dee-8934-c532e10641be,OGN-149,1
9bf456a4-3b2a-5dee-8934-c532e10641be,OGN-128,2
9bf456a4-3b2a-5dee-8934-c532e10641be,OGN-258,3
9bf456a4-3b2a-5dee-8934-c532e10641be,OGN-260,4
d9709486-a7d6-5946-a8bc-0f345759b9b2,OGN-093,0
d9709486-a7d6-5946-a8bc-0f345759b9b2,OGN-095,1
489b6f9e-7bf4-5915-8a7d-ca6506ab1c34,OGN-149,0
a918f5eb-2c76-5e16-b3f5-dc543f273d8b,OGN-247,0
5fafea7d-f4c5-5b91-9882-3db3b1fcbb87,OGN-045,0
5fafea7d-f4c5-5b91-9882-3db3b1fcbb87,OGN-064,1
5fafea7d-f4c5-5b91-9882-3db3b1fcbb87,OGN-103,2
d18de24f-b1d0-5f22-8394-eaaed0f174c1,OGN-274,0
d18de24f-b1d0-5f22-8394-eaaed0f174c1,UNL-T07,1
