source_id,source,opus_id,日期,章节,问题,答案,卡号,起止行
1106492573155852293-01,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,赛事处罚,Q：【拉文布鲁姆学生】的技能遗漏触发,"A：拉文布鲁姆学生的技能触发条件“每当你打出一张法术牌时”，其中“打出”指的是这张法术牌被成功结算。
【拉文布鲁姆学生】的技能需要严格按照触发式技能的添加至结算链与结算流程进行操作，但由于在实际对局中比较繁琐
且遗漏触发十分常见，裁判组允许双方选手在打出【拉文布鲁姆学生】时进行约定：本轮对局中【拉文布鲁姆学生】的技能
默认触发，并正常结算。与此相对应,如果双方选手没有提前达成约定，裁判组将会严格按照错过触发进行裁定。",OGN-103,13-17
1106492573155852293-02,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,赛事处罚,Q：游戏开始时没有放置选定英雄,"A：遗忘放置选定英雄是一个较为容易发现的游戏流程错误，相关信息的缺失会导致比赛公平性受到影响。对局开始超过一回合
时，任意选手声明某选手的选定英雄区没有放置卡牌，裁判组将会裁定为单局败北。",,18-20
1106492573155852293-03,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,赛事处罚,Q：主牌堆卡牌混入符文牌堆,"A：对局开始后发现主牌堆卡牌混入符文牌堆，代表着比赛开始时主牌堆不足39张，这一情况严重违反比赛公平和赛场规则
裁判组将会裁定为单局败北。",,21-23
1106492573155852293-04,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,赛事处罚,Q：双方选手对得分出现异议,"A：裁判组建议双方选手加强有关得分方面的沟通，每次得分后主动与对手确认，并充分利用核销时发放的计分表和符文战场官
方小程序对战工具。",,24-26
1106492573155852293-05,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,赛事处罚,Q：过度简化,"A：选手因过度简化操作流程导致错误时,将被裁判组裁定为非法操作。",,27-28
1106492573155852293-06,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,赛事处罚,Q：特殊情况导致比赛无法开始,A：选手原因导致无法开始比赛的，将被裁判组视为迟到。,,29-30
1106492573155852293-07,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,赛事处罚,Q：对局开始的时机,"A：当双方选手展示战场、确定先后手、互相切洗卡组完成游戏准备后，无需抽取初始手牌，裁判组将会裁定双方选手已经开始
对局。",,31-33
1106492573155852293-08,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,卡组检查,Q：（卡组检查第1条）,"A：卡组检查时,选手卡组中若出现了登记卡表以外的卡牌(尤其是在第二局、第三局的对战中)，将会受到单局败北及以
的判罚。",,35-36
1106492573155852293-09,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,卡组检查,Q：（卡组检查第2条）,A：当裁判将要进行卡检时，选手的选定英雄区若没有卡牌，将被视为卡组卡表不一致，会受到单局败北及以上的判罚。,,37-37
1106492573155852293-10,第一赛季区域公开赛-广州站赛后判例,1106492573155852293,2025-09-03,卡组检查,Q：（卡组检查第3条）,"A：卡套出现明显的颜色差异，如选定英雄的卡套为白色，主牌堆的卡套为红色,将被视为严重标记卡牌，会受到单局败北及以
上的判罚。",,38-39
