原文,归一化标注,card_no,card_name_cn,sub_title_cn,匹配方式,QA覆盖,QA条数,QA_source_id,出现次数,出现文件
“敲”诈,“敲”诈,OGN-095,“敲”诈,,精确(名),有,2,38、152,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
（空·跨行续接）,苍炎守护者、亡花掠食者,OGN-082、OGN-161,苍炎守护者、亡花掠食者,,跨行续接·精确(名)、跨行续接·模糊(距1),有,1,48,2,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt、2025-09-19_关于第一赛季区域公开赛-杭州站赛后判例_1114291471444344833/判例文字.txt
三相之力,三相之力,SFD-115,三相之力,,精确(名),无,0,,3,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
中娅沙漏,中娅沙漏,OGN-077,中娅沙漏,,精确(名),有,11,41、42、46、119、120、123、146、150、151、174、207,26,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt、2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt、2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
临终仪式,临终仪式,SFD-150,临终仪式,,精确(名),无,0,,2,2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
乐芙兰－诡术妖姬,诡术妖姬,UNL-199,诡术妖姬,,拆解(后缀成卡·黏连),无,0,,5,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
乐芙兰诡术妖姬,诡术妖姬,UNL-199,诡术妖姬,,拆解(后缀成卡·黏连),无,0,,1,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
亡花掠食者,亡花掠食者,OGN-161,亡花掠食者,,精确(名),有,1,48,14,2025-09-19_关于第一赛季区域公开赛-杭州站赛后判例_1114291471444344833/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
传奇殿堂,传奇殿堂,SFD-210,传奇殿堂,,精确(名),无,0,,2,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
先锋之眼,先锋之眼,SFD-153,先锋之眼,,精确(名),无,0,,7,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt
